<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30,20161024,654.1700,654.1700,648.2900,648.2900,46607299
^VN30,20161025,645.3200,646.9700,640.0300,644.9100,57905879
^VN30,20161026,643.5700,645.2500,639.0700,641.8100,40456885
^VN30,20161027,641.4200,644.1800,640.1300,644.1800,42273922
^VN30,20161028,643.6600,649.3100,642.8200,649.2700,54323340
^VN30,20161031,649.2800,649.2800,644.2200,644.2200,66220297
^VN30,20161101,643.2600,644.7000,641.4000,643.0500,60042540
^VN30,20161102,641.5600,642.8700,636.5400,636.5400,81168592
^VN30,20161103,634.2800,634.2800,627.9000,632.8100,72936135
^VN30,20161104,632.3900,634.5000,631.8000,632.5400,38767795
^VN30,20161107,633.0300,639.9800,632.6300,639.9100,53006542
^VN30,20161108,640.0000,643.4300,640.0000,642.0100,44774070
^VN30,20161109,641.8400,641.8400,620.3500,635.4200,78463470
^VN30,20161110,640.9600,642.8800,639.6800,641.9000,55452669
^VN30,20161111,641.8000,642.9000,639.8800,642.0000,53372303
^VN30,20161114,640.0600,642.2400,634.1300,634.1300,62048909
^VN30,20161115,636.0100,639.3800,635.2000,637.5100,53470629
^VN30,20161116,638.0000,641.2100,637.9900,638.7200,52149390
^VN30,20161117,638.7000,639.1600,635.3200,636.0200,62890250
^VN30,20161118,635.6300,636.6100,632.4500,634.3500,44574480
^VN30,20161121,635.8200,638.8700,634.4300,638.8700,49149070
^VN30,20161122,638.2900,643.8000,638.2900,643.7600,53410470
^VN30,20161123,643.8200,649.6500,643.6000,647.5900,47906920
^VN30,20161124,650.5200,651.5500,645.3600,647.4700,58914966
^VN30,20161125,648.8200,648.8200,641.7000,643.3800,52256340
^VN30,20161128,640.5800,640.7500,628.4800,630.6200,42236760
^VN30,20161129,631.2200,632.8900,623.3200,625.7800,57622990
^VN30,20161130,626.6800,632.9000,622.1200,631.8900,67128510
^VN30,20161201,633.6300,636.4300,631.5500,631.5500,60625410
^VN30,20161202,631.8100,632.3000,628.6800,629.6400,70242487
^VN30,20161205,628.6000,629.8500,625.3200,625.3200,49451091
^VN30,20161206,625.6800,626.1500,614.2300,616.2600,59023110
^VN30,20161207,614.6400,617.2200,614.1000,615.0000,70504795
^VN30,20161208,619.0300,620.2300,615.0000,619.4500,40242480
^VN30,20161209,620.4800,621.8600,617.2900,619.6400,34495110
^VN30,20161212,616.5000,617.8900,612.2400,612.8300,52766030
^VN30,20161213,612.5200,612.7400,606.0700,606.7100,56730860
^VN30,20161214,607.0000,615.2600,606.5500,615.2600,57303640
^VN30,20161215,614.8300,615.7200,610.6400,613.2500,60090414
^VN30,20161216,613.3100,621.0400,613.2700,621.0400,103804220
^VN30,20161219,622.1900,626.7800,622.1900,623.8500,47470570
^VN30,20161220,622.5900,622.6200,615.9500,616.7400,37017705
^VN30,20161221,616.7200,620.2800,614.1300,618.4300,40778350
^VN30,20161222,619.9900,621.8700,617.1500,618.3500,42899055
^VN30,20161223,617.5800,620.7500,615.7400,620.7500,50518470
^VN30,20161226,622.9100,624.5200,621.7100,621.7300,47420035
^VN30,20161227,622.0500,624.1700,621.7700,623.4600,57507575
^VN30,20161228,625.5500,626.4400,623.2400,624.8300,50198868
^VN30,20161229,627.8200,627.9400,626.3000,626.9500,45339320
^VN30,20161230,625.8000,628.2100,625.1800,628.2100,46755430
^VN30,20170103,627.6500,634.1800,627.5800,633.8900,42886270
^VN30,20170104,632.8000,635.3900,630.4600,632.7000,52288190
^VN30,20170105,633.6100,635.3300,632.4600,634.8300,50348862
^VN30,20170106,634.5600,640.7400,634.2600,636.3400,69771960
^VN30,20170109,636.8200,640.0200,636.8200,638.4000,55054032
^VN30,20170110,639.0000,640.8600,638.6100,639.3600,42153480
^VN30,20170111,639.5600,643.3900,639.5200,643.3900,50310972
^VN30,20170112,644.5300,645.1400,641.7100,642.2500,58107000
^VN30,20170113,642.2100,643.8500,640.0700,640.0700,42314478
^VN30,20170116,639.5900,640.5200,632.7000,632.7000,41112420
^VN30,20170117,633.4200,637.5400,632.7000,637.5400,51330770
^VN30,20170118,637.0900,638.7200,633.1000,633.1000,42058670
^VN30,20170119,632.3100,634.0000,630.4800,631.0000,33900640
